id,loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,recoveries,collections_12_mths_ex_med,acc_now_delinq,tot_coll_amt,tot_cur_bal,total_rev_hi_lim,class
182791,8000, 36 months,14.09,273.78,B,10+ years,RENT,112000,Not Verified,wedding,8.13,0,Mar-00,1,8,0,19340,66,22,0,0,0,0,37551,29302,0
65813,8000, 36 months,7.9,250.33,A,10+ years,OWN,65000,Not Verified,debt_consolidation,7.46,0,Feb-87,1,15,0,11774,15,25,0,0,0,0,60643,78400,0
826148,15000, 60 months,13.99,348.95,C,10+ years,MORTGAGE,109000,Not Verified,major_purchase,14.58,0,Oct-01,0,6,0,32538,99.2,28,0,0,0,0,276506,32800,0
278921,13800, 36 months,9.17,439.93,B,6 years,MORTGAGE,80000,Verified,debt_consolidation,34.32,0,Aug-00,2,21,0,8573,15.9,66,0,0,0,0,346871,53900,0
330821,12000, 36 months,8.39,378.2,A,1 year,OWN,55000,Not Verified,debt_consolidation,5.98,0,Feb-99,2,19,0,10713,36.1,49,0,0,0,0,89729,29700,0
99281,9125, 36 months,12.35,304.61,B,10+ years,MORTGAGE,55000,Source Verified,credit_card,3.03,0,Apr-85,0,7,0,3937,74.3,14,0,0,0,0,23692,5300,0
385604,6500, 60 months,16.29,159.08,D,3 years,RENT,40000,Verified,home_improvement,26.01,0,Jun-04,1,6,0,13377,89.8,16,0,0,0,0,39315,14900,0
372469,11400, 60 months,13.35,261.44,C,3 years,MORTGAGE,72500,Not Verified,debt_consolidation,18.13,0,Jul-98,0,9,0,9196,65.7,30,0,0,0,261,223075,14000,0
412968,7500, 36 months,12.49,250.87,B,6 years,RENT,40560,Verified,debt_consolidation,19.6,0,May-02,0,20,0,4788,33.2,44,0,0,0,0,33829,14400,0
873400,3925, 36 months,18.54,142.97,E,4 years,OWN,38000,Not Verified,home_improvement,8.28,1,Feb-94,1,6,0,2035,53.6,22,0,0,0,0,12803,3800,0
175392,5000, 36 months,12.12,166.36,B,n/a,MORTGAGE,67500,Verified,debt_consolidation,7.68,0,Nov-92,0,8,1,6695,62.6,23,0,0,0,0,118842,10700,0
342953,1000, 36 months,12.49,33.45,B,10+ years,MORTGAGE,40000,Not Verified,debt_consolidation,5.25,0,Nov-97,0,5,1,7128,72.7,21,0,0,0,0,32049,9800,0
114814,12000, 60 months,22.7,336.23,E,7 years,MORTGAGE,54500,Verified,home_improvement,18.94,0,Oct-00,2,11,0,15621,54.8,35,0,0,0,0,233254,28500,0
191919,23675, 60 months,21.98,653.61,E,5 years,RENT,60000,Source Verified,debt_consolidation,33.4,0,Nov-95,2,10,0,17169,92.3,18,0,0,0,0,74729,18600,0
122931,7200, 36 months,10.64,234.5,B,10+ years,MORTGAGE,30000,Verified,home_improvement,20.16,0,Apr-02,0,5,0,5089,38.6,11,0,0,0,0,114067,13200,0
453286,30000, 60 months,17.57,754.81,D,10+ years,RENT,90000,Source Verified,debt_consolidation,21.93,1,Feb-76,0,14,0,34999,89.5,19,0,0,0,0,42488,39100,0
109751,16000, 36 months,18.85,585.29,D,8 years,MORTGAGE,133000,Not Verified,debt_consolidation,10.13,0,Nov-95,1,8,0,9332,88,32,0,0,0,0,449779,10600,0
112955,11000, 36 months,18.25,399.06,D,4 years,RENT,33000,Not Verified,debt_consolidation,9.89,0,Oct-05,1,5,0,9560,74.1,14,0,0,0,0,9560,12900,0
319934,2550, 36 months,24.5,100.72,F,n/a,MORTGAGE,44060,Verified,debt_consolidation,22.01,0,Oct-04,6,7,0,202,12.6,17,0,0,0,2127,34526,1600,0
404696,20000, 60 months,14.16,467.03,C,7 years,RENT,150000,Verified,debt_consolidation,10.74,1,Dec-98,1,11,0,847,3.5,25,0,0,0,0,58371,23900,0
450512,8800, 36 months,18.25,319.25,D,10+ years,OWN,63000,Verified,debt_consolidation,22.99,0,Mar-94,2,8,0,85539,27.4,43,0,0,0,0,106479,93200,0
93411,15000, 36 months,11.55,495,B,10+ years,MORTGAGE,67000,Verified,debt_consolidation,30.64,0,Jan-00,0,6,0,14133,74.4,14,0,0,0,0,202886,19000,0
